Product_Description,Product_Image,Discounted_Price,Product_Rating
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/2636843/1.jpg?4637,"₦ 500,000",0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/7907143/1.jpg?6364,"₦ 569,000",0
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/5662123/1.jpg?4692,"₦ 500,000",1
Hp EliteBook 830 G6 TOUCHSCREEN Core I5-8GB RAM/256GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/4693032/1.jpg?3629,"₦ 475,000",1
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro +BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/9274913/1.jpg?3628,"₦ 510,000",1
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/2182423/1.jpg?0668,"₦ 510,000",1
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro & USB LIGHT FOR KEYBOARD,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/1087012/1.jpg?3322,"₦ 220,000",1
"DELL Latitude 3190 2in1 X360 INTEL PENTIUM, Touchscreen 128GB SSD 8GB WIN 11 Pro",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/7647313/1.jpg?8507,"₦ 270,000",1
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/4205243/1.jpg?8545,"₦ 480,000",0
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 32GB WINS 10,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/1045393/1.jpg?9040,"₦ 160,000",0
Lenovo 10W QUALCOMM SNAPDRAGON 4GB RAM 64GB EMMC 10.1 TOUCH DETACHABLE WINS 11,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/1706373/1.jpg?9300,"₦ 240,000",0
Hp EliteBook 840 G5 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/2435423/1.jpg?6752,"₦ 470,000",0
Hp ELITEBOOK X360 1030 G3 INTEL CORE I5 1TB SSD/8GB RAM BACKLIT KEYBOARD FP READER WIN 11 PRO+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/7066262/1.jpg?0502,"₦ 755,000",1
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/9720772/1.jpg?8728,"₦ 585,000",1
